#simptom;ime;godina;pol;rasa;ver
retinal_detachment;blidness;0;musko;black;0.009
retinal_detachment;blidness;0;zensko;black;0.005
retinal_detachment;blidness;0;musko;hispanic;0.01
retinal_detachment;blidness;0;zensko;hispanic;0.006
retinal_detachment;blidness;0;musko;white;0.014
retinal_detachment;blidness;0;zensko;white;0.008
retinal_detachment;blidness;0;musko;other;0.013
retinal_detachment;blidness;0;zensko;other;0.007
retinal_detachment;blidness;1-4;musko;black;0
retinal_detachment;blidness;1-4;zensko;black;0
retinal_detachment;blidness;1-4;musko;hispanic;0
retinal_detachment;blidness;1-4;zensko;hispanic;0
retinal_detachment;blidness;1-4;musko;white;0
retinal_detachment;blidness;1-4;zensko;white;0
retinal_detachment;blidness;1-4;musko;other;0
retinal_detachment;blidness;1-4;zensko;other;0
retinal_detachment;blidness;5-14;musko;black;0.018
retinal_detachment;blidness;5-14;zensko;black;0.009
retinal_detachment;blidness;5-14;musko;hispanic;0.02
retinal_detachment;blidness;5-14;zensko;hispanic;0.011
retinal_detachment;blidness;5-14;musko;white;0.028
retinal_detachment;blidness;5-14;zensko;white;0.015
retinal_detachment;blidness;5-14;musko;other;0.026
retinal_detachment;blidness;5-14;zensko;other;0.014
retinal_detachment;blidness;15-29;musko;black;0.014
retinal_detachment;blidness;15-29;zensko;black;0.007
retinal_detachment;blidness;15-29;musko;hispanic;0.016
retinal_detachment;blidness;15-29;zensko;hispanic;0.008
retinal_detachment;blidness;15-29;musko;white;0.021
retinal_detachment;blidness;15-29;zensko;white;0.011
retinal_detachment;blidness;15-29;musko;other;0.02
retinal_detachment;blidness;15-29;zensko;other;0.01
retinal_detachment;blidness;30-44;musko;black;0.032
retinal_detachment;blidness;30-44;zensko;black;0.017
retinal_detachment;blidness;30-44;musko;hispanic;0.036
retinal_detachment;blidness;30-44;zensko;hispanic;0.02
retinal_detachment;blidness;30-44;musko;white;0.02
retinal_detachment;blidness;30-44;zensko;white;0.027
retinal_detachment;blidness;30-44;musko;other;0.045
retinal_detachment;blidness;30-44;zensko;other;0.024
retinal_detachment;blidness;45-59;musko;black;0.073
retinal_detachment;blidness;45-59;zensko;black;0.04
retinal_detachment;blidness;45-59;musko;hispanic;0.083
retinal_detachment;blidness;45-59;zensko;hispanic;0.045
retinal_detachment;blidness;45-59;musko;white;0.114
retinal_detachment;blidness;45-59;zensko;white;0.061
retinal_detachment;blidness;45-59;musko;other;0.104
retinal_detachment;blidness;45-59;zensko;other;0.056
retinal_detachment;blidness;60-74;musko;black;0.1
retinal_detachment;blidness;60-74;zensko;black;0.05
retinal_detachment;blidness;60-74;musko;hispanic;0.11
retinal_detachment;blidness;60-74;zensko;hispanic;0.061
retinal_detachment;blidness;60-74;musko;white;0.157
retinal_detachment;blidness;60-74;zensko;white;0.085
retinal_detachment;blidness;60-74;musko;other;0.143
retinal_detachment;blidness;60-74;zensko;other;0.077
retinal_detachment;blidness;75+;musko;black;0.055
retinal_detachment;blidness;75+;zensko;black;0.03
retinal_detachment;blidness;75+;musko;hispanic;0.062
retinal_detachment;blidness;75+;zensko;hispanic;0.034
retinal_detachment;blidness;75+;musko;white;0.086
retinal_detachment;blidness;75+;zensko;white;0.046
retinal_detachment;blidness;75+;musko;other;0.078
retinal_detachment;blidness;75+;zensko;other;0.042
optic_neuritis;blidness;0;musko;black;0
optic_neuritis;blidness;0;zensko;black;0
optic_neuritis;blidness;0;musko;hispanic;0
optic_neuritis;blidness;0;zensko;hispanic;0
optic_neuritis;blidness;0;musko;white;0
optic_neuritis;blidness;0;zensko;white;0
optic_neuritis;blidness;0;musko;other;0
optic_neuritis;blidness;0;zensko;other;0
optic_neuritis;blidness;1-4;musko;black;0
optic_neuritis;blidness;1-4;zensko;black;0
optic_neuritis;blidness;1-4;musko;hispanic;0
optic_neuritis;blidness;1-4;zensko;hispanic;0
optic_neuritis;blidness;1-4;musko;white;0
optic_neuritis;blidness;1-4;zensko;white;0
optic_neuritis;blidness;1-4;musko;other;0
optic_neuritis;blidness;1-4;zensko;other;0
optic_neuritis;blidness;5-14;musko;black;0.018
optic_neuritis;blidness;5-14;zensko;black;0.027
optic_neuritis;blidness;5-14;musko;hispanic;0.027
optic_neuritis;blidness;5-14;zensko;hispanic;0.04
optic_neuritis;blidness;5-14;musko;white;0.022
optic_neuritis;blidness;5-14;zensko;white;0.034
optic_neuritis;blidness;5-14;musko;other;0.025
optic_neuritis;blidness;5-14;zensko;other;0.037
optic_neuritis;blidness;15-29;musko;black;0.023
optic_neuritis;blidness;15-29;zensko;black;0.038
optic_neuritis;blidness;15-29;musko;hispanic;0.038
optic_neuritis;blidness;15-29;zensko;hispanic;0.058
optic_neuritis;blidness;15-29;musko;white;0.032
optic_neuritis;blidness;15-29;zensko;white;0.048
optic_neuritis;blidness;15-29;musko;other;0.035
optic_neuritis;blidness;15-29;zensko;other;0.053
optic_neuritis;blidness;30-44;musko;black;0.049
optic_neuritis;blidness;30-44;zensko;black;0.073
optic_neuritis;blidness;30-44;musko;hispanic;0.073
optic_neuritis;blidness;30-44;zensko;hispanic;0.11
optic_neuritis;blidness;30-44;musko;white;0.06
optic_neuritis;blidness;30-44;zensko;white;0.091
optic_neuritis;blidness;30-44;musko;other;0.067
optic_neuritis;blidness;30-44;zensko;other;0.1
optic_neuritis;blidness;45-59;musko;black;0.03
optic_neuritis;blidness;45-59;zensko;black;0.05
optic_neuritis;blidness;45-59;musko;hispanic;0.046
optic_neuritis;blidness;45-59;zensko;hispanic;0.07
optic_neuritis;blidness;45-59;musko;white;0.04
optic_neuritis;blidness;45-59;zensko;white;0.058
optic_neuritis;blidness;45-59;musko;other;0.042
optic_neuritis;blidness;45-59;zensko;other;0.063
optic_neuritis;blidness;60-74;musko;black;0.026
optic_neuritis;blidness;60-74;zensko;black;0.038
optic_neuritis;blidness;60-74;musko;hispanic;0.038
optic_neuritis;blidness;60-74;zensko;hispanic;0.058
optic_neuritis;blidness;60-74;musko;white;0.032
optic_neuritis;blidness;60-74;zensko;white;0.048
optic_neuritis;blidness;60-74;musko;other;0.035
optic_neuritis;blidness;60-74;zensko;other;0.053
optic_neuritis;blidness;75;musko;black;0
optic_neuritis;blidness;75;zensko;black;0
optic_neuritis;blidness;75;musko;hispanic;0
optic_neuritis;blidness;75;zensko;hispanic;0
optic_neuritis;blidness;75;musko;white;0
optic_neuritis;blidness;75;zensko;white;0
optic_neuritis;blidness;75;musko;other;0
optic_neuritis;blidness;75;zensko;other;0
macular_degeneration;blidness;0;musko;black;0
macular_degeneration;blidness;0;zensko;black;0
macular_degeneration;blidness;0;musko;hispanic;0
macular_degeneration;blidness;0;zensko;hispanic;0
macular_degeneration;blidness;0;musko;white;0
macular_degeneration;blidness;0;zensko;white;0
macular_degeneration;blidness;0;musko;other;0
macular_degeneration;blidness;0;zensko;other;0
macular_degeneration;blidness;1-4;musko;black;0.003
macular_degeneration;blidness;1-4;zensko;black;0.003
macular_degeneration;blidness;1-4;musko;hispanic;0.004
macular_degeneration;blidness;1-4;zensko;hispanic;0.005
macular_degeneration;blidness;1-4;musko;white;0.006
macular_degeneration;blidness;1-4;zensko;white;0.008
macular_degeneration;blidness;1-4;musko;other;0.004
macular_degeneration;blidness;1-4;zensko;other;0.005
macular_degeneration;blidness;5-14;musko;black;0
macular_degeneration;blidness;5-14;zensko;black;0
macular_degeneration;blidness;5-14;musko;hispanic;0
macular_degeneration;blidness;5-14;zensko;hispanic;0
macular_degeneration;blidness;5-14;musko;white;0
macular_degeneration;blidness;5-14;zensko;white;0
macular_degeneration;blidness;5-14;musko;other;0
macular_degeneration;blidness;5-14;zensko;other;0
macular_degeneration;blidness;15-29;musko;black;0.003
macular_degeneration;blidness;15-29;zensko;black;0.003
macular_degeneration;blidness;15-29;musko;hispanic;0.004
macular_degeneration;blidness;15-29;zensko;hispanic;0.005
macular_degeneration;blidness;15-29;musko;white;0.006
macular_degeneration;blidness;15-29;zensko;white;0.008
macular_degeneration;blidness;15-29;musko;other;0.004
macular_degeneration;blidness;15-29;zensko;other;0.005
macular_degeneration;blidness;30-44;musko;black;0.005
macular_degeneration;blidness;30-44;zensko;black;0.007
macular_degeneration;blidness;30-44;musko;hispanic;0.009
macular_degeneration;blidness;30-44;zensko;hispanic;0.01
macular_degeneration;blidness;30-44;musko;white;0.013
macular_degeneration;blidness;30-44;zensko;white;0.016
macular_degeneration;blidness;30-44;musko;other;0.009
macular_degeneration;blidness;30-44;zensko;other;0.01
macular_degeneration;blidness;45-59;musko;black;0.016
macular_degeneration;blidness;45-59;zensko;black;0.02
macular_degeneration;blidness;45-59;musko;hispanic;0.026
macular_degeneration;blidness;45-59;zensko;hispanic;0.032
macular_degeneration;blidness;45-59;musko;white;0.039
macular_degeneration;blidness;45-59;zensko;white;0.047
macular_degeneration;blidness;45-59;musko;other;0.026
macular_degeneration;blidness;45-59;zensko;other;0.032
macular_degeneration;blidness;60-74;musko;black;0.057
macular_degeneration;blidness;60-74;zensko;black;0.07
macular_degeneration;blidness;60-74;musko;hispanic;0.09
macular_degeneration;blidness;60-74;zensko;hispanic;0.11
macular_degeneration;blidness;60-74;musko;white;0.136
macular_degeneration;blidness;60-74;zensko;white;0.166
macular_degeneration;blidness;60-74;musko;other;0.09
macular_degeneration;blidness;60-74;zensko;other;0.11
macular_degeneration;blidness;75;musko;black;0.146
macular_degeneration;blidness;75;zensko;black;0.178
macular_degeneration;blidness;75;musko;hispanic;0.233
macular_degeneration;blidness;75;zensko;hispanic;0.285
macular_degeneration;blidness;75;musko;white;0.35
macular_degeneration;blidness;75;zensko;white;0.427
macular_degeneration;blidness;75;musko;other;0.233
macular_degeneration;blidness;75;zensko;other;0.285
cataract;blidness;0;musko;black;0
cataract;blidness;0;zensko;black;0
cataract;blidness;0;musko;hispanic;0
cataract;blidness;0;zensko;hispanic;0
cataract;blidness;0;musko;white;0
cataract;blidness;0;zensko;white;0
cataract;blidness;0;musko;other;0
cataract;blidness;0;zensko;other;0
cataract;blidness;1-4;musko;black;0
cataract;blidness;1-4;zensko;black;0
cataract;blidness;1-4;musko;hispanic;0
cataract;blidness;1-4;zensko;hispanic;0
cataract;blidness;1-4;musko;white;0
cataract;blidness;1-4;zensko;white;0
cataract;blidness;1-4;musko;other;0
cataract;blidness;1-4;zensko;other;0
cataract;blidness;5-14;musko;black;0.011
cataract;blidness;5-14;zensko;black;0.011
cataract;blidness;5-14;musko;hispanic;0.007
cataract;blidness;5-14;zensko;hispanic;0.007
cataract;blidness;5-14;musko;white;0.013
cataract;blidness;5-14;zensko;white;0.013
cataract;blidness;5-14;musko;other;0.014
cataract;blidness;5-14;zensko;other;0.014
cataract;blidness;15-29;musko;black;0
cataract;blidness;15-29;zensko;black;0
cataract;blidness;15-29;musko;hispanic;0
cataract;blidness;15-29;zensko;hispanic;0
cataract;blidness;15-29;musko;white;0
cataract;blidness;15-29;zensko;white;0
cataract;blidness;15-29;musko;other;0
cataract;blidness;15-29;zensko;other;0
cataract;blidness;30-44;musko;black;0.011
cataract;blidness;30-44;zensko;black;0.011
cataract;blidness;30-44;musko;hispanic;0.007
cataract;blidness;30-44;zensko;hispanic;0.007
cataract;blidness;30-44;musko;white;0.013
cataract;blidness;30-44;zensko;white;0.013
cataract;blidness;30-44;musko;other;0.014
cataract;blidness;30-44;zensko;other;0.014
cataract;blidness;45-59;musko;black;0.086
cataract;blidness;45-59;zensko;black;0.086
cataract;blidness;45-59;musko;hispanic;0.057
cataract;blidness;45-59;zensko;hispanic;0.057
cataract;blidness;45-59;musko;white;0.106
cataract;blidness;45-59;zensko;white;0.106
cataract;blidness;45-59;musko;other;0.115
cataract;blidness;45-59;zensko;other;0.115
cataract;blidness;60-74;musko;black;0.356
cataract;blidness;60-74;zensko;black;0.356
cataract;blidness;60-74;musko;hispanic;0.238
cataract;blidness;60-74;zensko;hispanic;0.238
cataract;blidness;60-74;musko;white;0.436
cataract;blidness;60-74;zensko;white;0.436
cataract;blidness;60-74;musko;other;0.475
cataract;blidness;60-74;zensko;other;0.475
cataract;blidness;75;musko;black;0.389
cataract;blidness;75;zensko;black;0.289
cataract;blidness;75;musko;hispanic;0.26
cataract;blidness;75;zensko;hispanic;0.26
cataract;blidness;75;musko;white;0.475
cataract;blidness;75;zensko;white;0.475
cataract;blidness;75;musko;other;0.518
cataract;blidness;75;zensko;other;0.518
chronic_glaucoma;blidness;0;musko;black;0.012
chronic_glaucoma;blidness;0;zensko;black;0.012
chronic_glaucoma;blidness;0;musko;hispanic;0.006
chronic_glaucoma;blidness;0;zensko;hispanic;0.006
chronic_glaucoma;blidness;0;musko;white;0.007
chronic_glaucoma;blidness;0;zensko;white;0.007
chronic_glaucoma;blidness;0;musko;other;0.011
chronic_glaucoma;blidness;0;zensko;other;0.011
chronic_glaucoma;blidness;1-4;musko;black;0
chronic_glaucoma;blidness;1-4;zensko;black;0
chronic_glaucoma;blidness;1-4;musko;hispanic;0
chronic_glaucoma;blidness;1-4;zensko;hispanic;0
chronic_glaucoma;blidness;1-4;musko;white;0
chronic_glaucoma;blidness;1-4;zensko;white;0
chronic_glaucoma;blidness;1-4;musko;other;0
chronic_glaucoma;blidness;1-4;zensko;other;0
chronic_glaucoma;blidness;5-14;musko;black;0.012
chronic_glaucoma;blidness;5-14;zensko;black;0.012
chronic_glaucoma;blidness;5-14;musko;hispanic;0.006
chronic_glaucoma;blidness;5-14;zensko;hispanic;0.006
chronic_glaucoma;blidness;5-14;musko;white;0.007
chronic_glaucoma;blidness;5-14;zensko;white;0.007
chronic_glaucoma;blidness;5-14;musko;other;0.011
chronic_glaucoma;blidness;5-14;zensko;other;0.011
chronic_glaucoma;blidness;15-29;musko;black;0.012
chronic_glaucoma;blidness;15-29;zensko;black;0.012
chronic_glaucoma;blidness;15-29;musko;hispanic;0.006
chronic_glaucoma;blidness;15-29;zensko;hispanic;0.006
chronic_glaucoma;blidness;15-29;musko;white;0.007
chronic_glaucoma;blidness;15-29;zensko;white;0.007
chronic_glaucoma;blidness;15-29;musko;other;0.011
chronic_glaucoma;blidness;15-29;zensko;other;0.011
chronic_glaucoma;blidness;30-44;musko;black;0.024
chronic_glaucoma;blidness;30-44;zensko;black;0.024
chronic_glaucoma;blidness;30-44;musko;hispanic;0.011
chronic_glaucoma;blidness;30-44;zensko;hispanic;0.011
chronic_glaucoma;blidness;30-44;musko;white;0.014
chronic_glaucoma;blidness;30-44;zensko;white;0.014
chronic_glaucoma;blidness;30-44;musko;other;0.022
chronic_glaucoma;blidness;30-44;zensko;other;0.022
chronic_glaucoma;blidness;45-59;musko;black;0.144
chronic_glaucoma;blidness;45-59;zensko;black;0.144
chronic_glaucoma;blidness;45-59;musko;hispanic;0.067
chronic_glaucoma;blidness;45-59;zensko;hispanic;0.067
chronic_glaucoma;blidness;45-59;musko;white;0.086
chronic_glaucoma;blidness;45-59;zensko;white;0.086
chronic_glaucoma;blidness;45-59;musko;other;0.134
chronic_glaucoma;blidness;45-59;zensko;other;0.134
chronic_glaucoma;blidness;60-74;musko;black;0.312
